,Selected,FeatLabel,FeatIndex,"Description"
1020,,PLAYER_TOOL_10,1115,"See FEAT_PLAYER_TOOL_01."
1019,,PLAYER_TOOL_09,1114,"See FEAT_PLAYER_TOOL_01."
1018,,PLAYER_TOOL_08,1113,"See FEAT_PLAYER_TOOL_01."
1017,,PLAYER_TOOL_07,1112,"See FEAT_PLAYER_TOOL_01."
1016,,PLAYER_TOOL_06,1111,"See FEAT_PLAYER_TOOL_01."
1015,,PLAYER_TOOL_05,1110,"See FEAT_PLAYER_TOOL_01."
1014,,PLAYER_TOOL_04,1109,"See FEAT_PLAYER_TOOL_01."
1013,,PLAYER_TOOL_03,1108,"See FEAT_PLAYER_TOOL_01."
1012,,PLAYER_TOOL_02,1107,"See FEAT_PLAYER_TOOL_01."
1011,,PLAYER_TOOL_01,1106,"General purpose instant feats builders can use for any purpose they want. When the feat is granted to the player, it will show up in radial menu under the name Player Tool 1, Player Tool 2, etc. These feats can be added to a quickslot."
1010,1,PALADIN_SUMMON_MOUNT,1095,"Prerequisite: Paladin, Summons to the paladin a faithful, magical beast - a warhorse mount. The beast is more powerful as the paladin gets more powerful. Use: Selected."
1009,1,HORSE_ASSIGN_MOUNT,1094,"Assign a mount to a particular companion, so he will always ride on the same mount. Use: Selected."
1008,1,HORSE_PARTY_DISMOUNT,1093,"In parties with several members and mounts, this feat commands all members to dismount all at once. Use: Selected."
1007,1,HORSE_PARTY_MOUNT,1092,"In parties with several members and mounts, this feat commands all members to mount up all at once. Use: Selected."
1006,1,HORSE_DISMOUNT,1091,"Prerequisite: None. Use this feat to dismount. Use this feat on a mounted henchman to instruct him or her to dismount. Use: Selected."
1005,1,HORSE_MOUNT,1090,"Prerequisite: None. Use this feat on a horse that is in your party to mount it. Use this feat on a henchman to instruct him or her to mount the first available horse in the party. Use: Selected."
1004,1,HORSE_MENU,1089,"Prerequisite: None. This series of actions enables players to interact with their mounts. Use: Selected. Individual Mount: Ride on the targeted mount, or command the targeted henchman to ride on a mount. Individual Dismount: Targeted creature dismounts."
1003,1,MOUNTED_ARCHERY,1088,"Prerequisite: Ride 1 rank, Mounted Combat. The attack penalty for using a bow while mounted is reduced from -4 to -2. Use: Automatic."
1002,1,MOUNTED_COMBAT,1087,"Prerequisite: Ride 1 rank. While mounted, once per round you will attempt a Ride check to increase your Armor Class by 1 point for every 5 of the check result. Use: Automatic."
1001,,PDK_INSPIRE_2,1086,"Prerequisite: Purple Dragon Knight level 2. Once per day, the Purple Dragon Knight can inspire his troops in combat. All affected creatures gain a +1 bonus to Attack and Damage, and a +2 bonus against mind affecting spells. These bonuses last for 10 rounds. Use: Selected."
1000,,PDK_INSPIRE_1,1085,"Prerequisite: Purple Dragon Knight level 2. Once per day, the Purple Dragon Knight can inspire his troops in combat. All affected creatures gain a +1 bonus to Attack and Damage, and a +2 bonus against mind affecting spells. These bonuses last for 10 rounds. Use: Selected."
999,,PDK_STAND,1084,"Prerequisite: Purple Dragon Knight level 5. Specifics: Once per day, the Purple Dragon Knight can inspire his troops to a heroic effort. Each ally in the area gains 2d10 hitpoints. This ability can affect a number of people equal to his Purple Dragon Knight level + Charisma modifier, and lasts for the same number of rounds. Use: Selected."
998,,PDK_WRATH,1083,"Prerequisite: Purple Dragon Knight level 4. Specifics: Once per day, the Purple Dragon Knight may swear to defeat a single opponent. He gains a +2 bonus to Attack, Damage, Saves, and Skills vs that opponent. This lasts for a number of rounds equal to twice his class level. Use: Selected."
997,,PDK_FEAR,1082,"Prerequisite: Purple Dragon Knight level 3. Once per day, the Purple Dragon Knight may cast the Fear spell with a caster level equal to his character level. Use: Selected."
996,,PDK_SHIELD,1081,"Prerequisite: Purple Dragon Knight level 1. You may aid an ally, giving them a +4 bonus to their armor class for one round. Use: Selected."
995,,PDK_RALLY,1080,"Prerequisite: Purple Dragon Knight level 1. Three times per day, a Purple Dragon Knight can utter a powerful shout that gives all allies a +1 bonus to attack and a 20% bonus to land speed for one round. Use: Selected."
994,1,WEAPON_OF_CHOICE_TRIDENT,1079,"Weapon Masters gain at level 1. The Weapon Master forms a powerful bond with one type of weapon. Whenever wielding this weapon type, he will get many additional benefits, which improve as he gains experience. HotU manual - page 36."
993,1,EPIC_OVERWHELMING_CRITICAL_TRIDENT,1078,"Prerequisite: 21st level, Strength 23+, Cleave, Great Cleave, Improved Critical (in chosen weapon) and Power Attack. When using the weapon chosen, the character deals +1d6 points of damage on a successful critical hit. If the weapon's critical multiplier is x3, add +2d6, and if the multiplier is x4, add 3d6. Use: Automatic."
992,1,EPIC_WEAPON_SPECIALIZATION_TRIDENT,1077,"Prerequisite: 21st level, Weapon Focus, Epic Weapon Focus and Weapon Specialization in the chosen weapon. The character gains a +4 bonus to all damage done by the chosen weapon. Use: Automatic."
991,1,EPIC_WEAPON_FOCUS_TRIDENT,1076,"Prerequisite: 21st level, Weapon Focus with chosen weapon. The character gains a +2 bonus to all attack rolls with the chosen weapon. Use: Automatic."
990,1,EPIC_DEVASTATING_CRITICAL_TRIDENT,1075,"Prerequisite: Strength 25+, Cleave, Great Cleave, Improved Critical (weapon to be chosen), Overwhelming Critical (weapon to be chosen), Power Attack, Weapon Focus (weapon to be chosen). Whenever scoring a critical hit with the chosen weapon, the character's target must make a Fortitude save or die instantly. Creatures who are immune to critical hits are not affected by this feat. Use: Automatic."
989,1,IMPROVED_CRITICAL_TRIDENT,1074,"Prerequisite: Proficiency with specific weapon, Base attack bonus of +8 or higher. Combat ability doubles the critical threat range with a given weapon. A weapon with a normal critical range of 19-20 would now threaten on a roll of 17-20. Use: Automatic. The threat range of a Keen weapon is already doubled, increasing to triple with this feat. This feat can be selected multiple times, applying to a new weapon category each time."
