,ItemCode,Item
0,2q6_stone01,1ST_FLOOR_PORTAL_STONE
1,2q6_stone02,2ND_FLOOR_PORTAL_STONE
2,2q4_illuskpaladi,2Q4_ILLUSKPALADIN
3,2q4_illuskpalsw,2Q4_ILLUSKPALSW
4,2q6_stone03,3RD_FLOOR_PORTAL_STONE
5,2q6_stone04,4TH_FLOOR_PORTAL_STONE
6,2q6_stone05,5TH_FLOOR_PORTAL_STONE
7,2q6_stone06,6TH_FLOOR_PORTAL_STONE
8,2q6_stone07,7TH_FLOOR_PORTAL_STONE
9,2q6_stone08,8TH_FLOOR_PORTAL_STONE
10,2q6_stone09,9TH_FLOOR_PORTAL_STONE
11,aarin_amulet,AARIN_AMULET
12,aarin_amulet2,AARIN_AMULET_1
13,aarin_amulet,AARIN_GEND_AMULET
14,aarin_amulet2,AARIN_GEND_AMULET_1
15,nw_wammar003,ACID_ARROW
16,x2_it_acidbomb,ACID_BOMB_HORDES_OF_THE_UNDERDARK
17,nw_wthmdt006,ACID_DART
18,x1_wmgrenade001,ACID_FLASK_SHADOWS_OF_UNDRENTIDE
19,nw_it_sparscr603,ACID_FOG
20,x1_it_sparscr002,ACID_SPLASH_SHADOWS_OF_UNDRENTIDE
21,q2cstone,ACTIVATION_STONE
22,nw_it_msmlmisc16,ADAMANTINE
23,nw_maarcl040,ADAMANTINE_BREASTPLATE
24,x2_it_adachain,ADAMANTINE_CHAINMAIL_HORDES_OF_THE_UNDERDARK
25,x2_it_adaplate,ADAMANTINE_FULL_PLATE_HORDES_OF_THE_UNDERDARK
26,it_adahelm001,ADAMANTINE_HELM
27,x2_it_adahelm,ADAMANTINE_HELM_HORDES_OF_THE_UNDERDARK
28,cloth028,ADEPT_ROBE
29,nw_cloth027,ADEPT_TUNIC
30,cloth028,ADEPT_TUNIC_1
31,q4_golemarmor,ADEPT_TUNIC_2
32,nw_it_creitemdr3,ADULT_BLACK_DRAGON_PROPERTIES
33,nw_it_creitemdrc,ADULT_BLUE_DRAGON_PROPERTIES
34,nw_it_creitemdr6,ADULT_BRASS_DRAGON_PROPERTIES
35,nw_it_creitemdrf,ADULT_BRONZE_DRAGON_PROPERTIES
36,nw_it_creitemdri,ADULT_COPPER_GREEN_DRAGON_PROPERTIES
37,nw_it_creitemdr2,ADULT_GOLD_DRAGON_PROPERTIES
38,nw_it_creitemdrm,ADULT_RED_DRAGON_PROPERTIES
39,nw_it_creitemdrp,ADULT_SILVER_DRAGON_PROPERTIES
40,nw_it_creitemdrs,ADULT_WHITE_DRAGON_PROPERTIES
41,m4q1c2_puzznotes,ADVENTURER_DIARY
42,m3q2f_golem,ADVENTURER_NOTE
43,nw_mcloth011,ADVENTURER_ROBE
44,mcloth012,ADVENTURER_ROBE_1
45,nw_it_gem014,ADVENTURINE
46,x2_it_spdvscr201,AID_HORDES_OF_THE_UNDERDARK
47,nw_wdbmqs003,AIEDO_WITHER_STICK
48,matron_qtrstaff,AIEDO_WITHER_STICK_PLUS2
49,x2_wdbmqs005,AIEDO_WITHER_STICK_PLUS8_HORDES_OF_THE_UNDERDARK
50,x2_it_pkeg,ALCHEMIST_FIRE
51,x1_wmgrenade002,ALCHEMIST_FIRE_SHADOWS_OF_UNDRENTIDE
52,nw_it_mpotion021,ALE
53,nw_it_gem013,ALEXANDRITE
54,m2q1italhtooth,ALHELOR_TOOTH
55,item,ALI_ROBE
56,wswmsc003,ALI_SCIMITAR
57,nw_it_crewpsp014,ALLIP_CLAW
58,nw_it_gem003,AMETHYST
59,x1_it_sparscr102,AMPLIFY_SHADOWS_OF_UNDRENTIDE
60,nw_it_mneck032,AMULET_OF_ACID_RESISTANCE
61,amuletofascalhor,AMULET_OF_ASCALHORN
62,nw_it_mneck030,AMULET_OF_COLD_RESISTANCE
63,x2_it_mneck004,AMULET_OF_DIVINE_RADIANCE_HORDES_OF_THE_UNDERDARK
64,nw_it_mneck031,AMULET_OF_ELECTRICAL_RESISTANCE
65,nw_it_mneck029,AMULET_OF_FIRE_RESTISTANCE
66,nw_it_mneck036,AMULET_OF_HEALTH
67,nw_it_mneck001,AMULET_OF_NATURAL_ARMOR_PLUS1
68,it_mneck002,AMULET_OF_NATURAL_ARMOR_PLUS1_1
69,nw_it_mneck012,AMULET_OF_NATURAL_ARMOR_PLUS2
70,nw_it_mneck013,AMULET_OF_NATURAL_ARMOR_PLUS3
71,nw_it_mneck014,AMULET_OF_NATURAL_ARMOR_PLUS4
72,nw_it_mneck015,AMULET_OF_NATURAL_ARMOR_PLUS5
73,x2_it_mneck021,AMULET_OF_NATURAL_ARMOR_PLUS6_HORDES_OF_THE_UNDERDARK
74,x2_it_mneck022,AMULET_OF_NATURAL_ARMOR_PLUS7_HORDES_OF_THE_UNDERDARK
75,nw_it_mneck005,AMULET_OF_POWER
76,2q4f_ghoulamu,AMULET_OF_POWER_1
77,m3q3c_swordages,AMULET_OF_THE_AGES
78,x0_it_mneck006,AMULET_OF_THE_HARPERS_HORDES_OF_THE_UNDERDARK
79,nw_hen_gri1rw,AMULET_OF_THE_LONG_DEATH_PLUS1
80,nw_hen_gri2rw,AMULET_OF_THE_LONG_DEATH_PLUS3
81,nw_it_mneck034,AMULET_OF_THE_MASTER
82,nw_hen_dae1rw,AMULET_OF_THE_RED_TIGER_TRIBE_PLUS1
83,nw_hen_dae2rw,AMULET_OF_THE_RED_TIGER_TRIBE_PLUS3
84,nw_hen_gri3rw,AMULET_OF_THE_SILENT_LORD_PLUS4
85,nw_hen_dae3rw,AMULET_OF_THE_UTHGARDT_PLUS4
86,amuletofultravis,AMULET_OF_ULTRAVISION
87,x0_it_mneck001,AMULET_OF_UNDEAD_TURNING_SHADOWS_OF_UNDRENTIDE
88,x2_it_mneck001,AMULET_OF_VITALITY_PLUS2_HORDES_OF_THE_UNDERDARK
89,x2_it_mneck002,AMULET_OF_VITALITY_PLUS4_HORDES_OF_THE_UNDERDARK
90,x2_it_mneck003,AMULET_OF_VITALITY_PLUS6_HORDES_OF_THE_UNDERDARK
91,nw_it_mneck024,AMULET_OF_WILL_PLUS1
92,x2_it_mneck020,AMULET_OF_WILL_PLUS10_HORDES_OF_THE_UNDERDARK
93,nw_it_mneck025,AMULET_OF_WILL_PLUS2
94,nw_it_mneck026,AMULET_OF_WILL_PLUS3
95,nw_it_mneck027,AMULET_OF_WILL_PLUS4
96,nw_it_mneck028,AMULET_OF_WILL_PLUS5
97,x2_it_mneck016,AMULET_OF_WILL_PLUS6_HORDES_OF_THE_UNDERDARK
98,x2_it_mneck017,AMULET_OF_WILL_PLUS7_HORDES_OF_THE_UNDERDARK
99,x2_it_mneck018,AMULET_OF_WILL_PLUS8_HORDES_OF_THE_UNDERDARK
100,x2_it_mneck019,AMULET_OF_WILL_PLUS9_HORDES_OF_THE_UNDERDARK
101,nw_it_creitemdr5,ANCIENT_BLACK_DRAGON_PROPERTIES
102,nw_it_creitemdre,ANCIENT_BLUE_DRAGON_PROPERTIES
103,nw_it_creitemdr8,ANCIENT_BRASS_DRAGON_PROPERTIES
104,nw_it_creitemdrh,ANCIENT_BRONZE_DRAGON_PROPERTIES
105,m1s1book2,ANCIENT_CHRONICLES_OF_HALUETH_NEVER
106,nw_it_creitemdrk,ANCIENT_COPPER_DRAGON_PROPERTIES
107,nw_it_creitemdrb,ANCIENT_GOLD_DRAGON_PROPERTIES
108,nw_it_creitemdrl,ANCIENT_GREEN_DRAGON_PROPERTIES
109,m1q5ekey,ANCIENT_KEY
110,nw_it_creitemdro,ANCIENT_RED_DRAGON_PROPERTIES
111,nw_it_creitemdrr,ANCIENT_SILVER_DRAGON_PROPERTIES
112,ancientsword,ANCIENT_SWORD
113,m1s1tyr,ANCIENT_SYMBOL_OF_TYR
114,q3_ancient_book,ANCIENT_TOME
115,nw_it_creitemdru,ANCIENT_WHITE_DRAGON_PROPERTIES
116,m1s2key2,ANDROID_GOLDEN_KEY
117,m1s2dkey1,ANDROID_KEY
118,q5_anduvir,ANDUVIR
119,nw_wswmls005,ANGURVADAL_FLAME_TONGUE
120,nw_it_sparscr509,ANIMATE_DEAD
121,it_midmisc001,ANONYMOUS_LETTER
122,m1q1_letterconsp,ANONYMOUS_LETTER_1
123,m1q1_letterspy,ANONYMOUS_LETTER_2
124,m2q3h_letterfire,ANOTHER_LETTER_IN_A_STRANGE_HAND
125,m2q3h_letterghos,ANOTHER_LETTER_IN_A_STRANGE_HAND_1
126,m2q3h_letterjust,ANOTHER_LETTER_IN_A_STRANGE_HAND_2
127,aocultistrobe,AO_CULTIST_ROBE
128,x2_wswmls005,ARAMIL_BLADE_HORDES_OF_THE_UNDERDARK
129,nw_it_crewps006,ARANEA_BITE
130,m1s1key1,ARCHAEOLOGIST_KEY
131,nw_it_mbelt011,ARCHER_BELT
132,nw_wplmhb003,ARC_ASUNDER
133,nw_wdbmma004,ARDULIA_FALL
134,cloth029,ARGALI_TUNIC
